datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Mitchell, Keith","Keith Mitchell",150,15458814,7600,32.570,N/A,0,68.5,4.4,0,72.9,0.83,100,4.16666666666667,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,15458818,7500,29.993,N/A,0,57.3,2.3,0,59.5,0.14,100,4.16666666666667,
"Baker, Chris","Chris Baker",150,15458816,7500,30.227,N/A,0,58.2,2.3,0,60.5,0.2,100,4.16666666666667,
"Power, Seamus","Seamus Power",150,15458817,7500,30.814,N/A,0,59.7,2.5,0,62.2,0.29,100,4.16666666666667,
"Kirk, Chris","Chris Kirk",150,15458820,7400,30.751,N/A,0,60.4,2.8,0,63.2,0.36,100,4.16666666666667,
"NeSmith, Matthew","Matthew NeSmith",150,15458821,7400,31.145,N/A,0,62.1,3,0,65.1,0.46,100,4.16666666666667,
"Percy, Cameron","Cameron Percy",150,15458822,7400,29.349,N/A,0,56.2,2,0,58.2,0.1,100,4.16666666666667,
"Roach, Wes","Wes Roach",150,15458819,7300,29.503,N/A,0,56.7,2.1,0,58.7,0.14,100,4.16666666666667,
"Pan, C.T.","C.T. Pan",150,15458824,7300,29.918,N/A,0,57.7,2.3,0,60,0.21,100,4.16666666666667,
"Ghim, Doug","Doug Ghim",150,15458825,7300,30.368,N/A,0,59.6,2.5,0,62.1,0.32,100,4.16666666666667,
"Chappell, Kevin","Kevin Chappell",150,15458823,7300,31.117,N/A,0,63,3.2,0,66.2,0.53,100,4.16666666666667,
"Hossler, Beau","Beau Hossler",150,15458828,7200,31.715,N/A,0,65.1,3.5,0,68.7,0.68,100,4.16666666666667,
"Ryder, Sam","Sam Ryder",150,15458829,7200,30.125,N/A,0,59.2,2.4,0,61.6,0.31,100,4.16666666666667,
"Anderson, Mark","Mark Anderson",150,15458827,7200,29.751,N/A,0,57.6,2.3,0,59.9,0.22,100,4.16666666666667,
"Stroud, Chris","Chris Stroud",150,15458826,7200,28.764,N/A,0,54.4,1.7,0,56.1,0.02,100,4.16666666666667,
"Burgoon, Bronson","Bronson Burgoon",150,15458832,7100,30.762,N/A,0,60.4,2.8,0,63.1,0.41,100,4.16666666666667,
"Uihlein, Peter","Peter Uihlein",150,15458831,7100,30.181,N/A,0,58.2,2.4,0,60.6,0.28,100,4.16666666666667,
"Armour, Ryan","Ryan Armour",150,15458833,7100,28.375,N/A,0,52.9,1.6,0,54.4,-0.03,100,4.16666666666667,
"Sloan, Roger","Roger Sloan",150,15458834,7100,29.786,N/A,0,56.8,2.1,0,58.9,0.19,100,4.16666666666667,
"Kitayama, Kurt","Kurt Kitayama",150,15458835,7100,31.637,N/A,0,64.3,3.4,0,67.7,0.65,100,4.16666666666667,
"Spaun, J.J.","J.J. Spaun",150,15458837,7000,30.132,N/A,0,58.4,2.4,0,60.8,0.31,100,4.16666666666667,
"Kizzire, Patton","Patton Kizzire",150,15458839,7000,29.202,N/A,0,54.6,1.8,0,56.3,0.07,100,4.16666666666667,
"Harrington, Scott","Scott Harrington",150,15458836,7000,29.882,N/A,0,56.4,2.1,0,58.5,0.19,100,4.16666666666667,
"Martin, Ben","Ben Martin",150,15458838,7000,30.153,N/A,0,59,2.4,0,61.5,0.35,100,4.16666666666667,
"Bramlett, Joseph","Joseph Bramlett",150,15458840,7000,31.090,N/A,0,62.8,3.1,0,65.9,0.58,100,4.16666666666667,
"Lashley, Nate","Nate Lashley",150,15458844,6900,28.598,N/A,0,53.2,1.6,0,54.8,0.01,100,4.16666666666667,
"Whaley, Vincent","Vincent Whaley",150,15458843,6900,30.009,N/A,0,57.5,2.2,0,59.7,0.27,100,4.16666666666667,
"Brown, Scott","Scott Brown",150,15458841,6900,29.359,N/A,0,55.4,1.9,0,57.3,0.14,100,4.16666666666667,
"Hagy, Brandon","Brandon Hagy",150,15458830,6900,31.791,N/A,0,64.8,3.5,0,68.3,0.72,100,4.16666666666667,
"Bhatia, Akshay","Akshay Bhatia",149,15458842,6900,30.216,N/A,0,59,2.4,0,61.4,0.36,100,4.16666666666667,
"Lahiri, Anirban","Anirban Lahiri",150,15458849,6800,30.124,N/A,0,58.6,2.3,0,61,0.36,100,4.16666666666667,
"Taylor, Vaughn","Vaughn Taylor",150,15458850,6800,30.700,N/A,0,59.8,2.6,0,62.4,0.43,100,4.16666666666667,
"Malnati, Peter","Peter Malnati",150,15458852,6800,29.434,N/A,0,56.1,1.9,0,58,0.2,100,4.16666666666667,
"Brehm, Ryan","Ryan Brehm",150,15458845,6800,31.009,N/A,0,61.8,2.8,0,64.6,0.55,100,4.16666666666667,
"Teater, Josh","Josh Teater",150,15458846,6800,28.605,N/A,0,53.7,1.7,0,55.4,0.07,100,4.16666666666667,
"Hearn, David","David Hearn",150,15458851,6800,27.711,N/A,0,51.2,1.4,0,52.6,-0.05,100,4.16666666666667,
